OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
3145,37,119,006204,1,371190062041,Block Group 1,"Block Group 1, Census Tract 62.04, Mecklenburg County, North Carolina",2084,819,873,0.06185567,0.86594203,1901,0,0,85,0,11,87,17,819,0,490,121,915,558,176,370,65,134,74,0,0,3.86796455,538.78466906,2014,-15,50.4,107832231.701336,46853.0442205112
3146,37,119,006106,1,371190061061,Block Group 1,"Block Group 1, Census Tract 61.06, Mecklenburg County, North Carolina",2674,1016,1039,0.02213667,0.71292373,1131,1131,0,151,0,189,72,559,1016,0,452,868,1166,188,285,368,112,182,35,34,0,0.66315383,4032.24693734,2273,249,35.4,18487593.6675893,19233.8824249329
3147,37,119,006403,3,371190064033,Block Group 3,"Block Group 3, Census Tract 64.03, Mecklenburg County, North Carolina",1421,549,604,0.0910596,0.88521739,1407,5,0,0,0,0,9,0,549,82,306,163,703,249,123,247,37,133,9,0,0,1.48456848,957.18050002,1775,-122,51.9,41387228.4957187,31317.7985716096
3148,37,119,005824,1,371190058241,Block Group 1,"Block Group 1, Census Tract 58.24, Mecklenburg County, North Carolina",4195,1284,1346,0.04606241,0.38365304,2298,1586,0,93,12,71,135,1546,1284,0,1258,1040,1654,243,201,400,262,216,156,49,0,5.73778302,731.1186194,2817,1110,32.5,159959570.355495,63849.3823096946
3149,37,119,004800,1,371190048001,Block Group 1,"Block Group 1, Census Tract 48, Mecklenburg County, North Carolina",1298,589,635,0.07244094,0.17761989,82,905,0,0,0,300,11,312,589,5,402,211,566,119,294,127,67,95,6,0,0,0.39892171,3253.77127256,1199,135,37.4,11121254.389124,14206.4403812128
3150,37,119,980200,1,371199802001,Block Group 1,"Block Group 1, Census Tract 9802, Mecklenburg County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37042143,0,1,-1,,121839869.358752,57450.7270232871
3151,37,119,005604,2,371190056042,Block Group 2,"Block Group 2, Census Tract 56.04, Mecklenburg County, North Carolina",2355,0,0,0,0,1502,649,0,108,5,16,75,132,0,1989,8,2347,0,0,0,0,0,0,0,0,0,0.33810886,6965.21232836,797,1192,19.5,9425896.21438223,12416.3447788862
3152,37,119,000500,1,371190005001,Block Group 1,"Block Group 1, Census Tract 5, Mecklenburg County, North Carolina",1787,1159,1275,0.09098039,0.40797824,1032,701,0,0,0,0,54,13,1159,0,31,804,594,358,790,327,30,0,0,0,12,0.18409038,9707.18839301,2098,-535,37.3,5132124.759325,11228.4937011195
3153,37,119,006005,1,371190060051,Block Group 1,"Block Group 1, Census Tract 60.05, Mecklenburg County, North Carolina",3380,1151,1187,0.03032856,0.7410796,1784,1323,0,198,0,0,75,536,1151,0,1087,659,1406,228,319,339,178,145,76,29,65,6.69718948,504.68931932,2854,143,34.2,186706180.223361,54906.5236409112
3154,37,119,005831,1,371190058311,Block Group 1,"Block Group 1, Census Tract 58.31, Mecklenburg County, North Carolina",2394,1114,1114,0,0.41262976,1954,282,0,74,0,0,84,93,1114,0,297,714,1077,306,448,337,187,142,0,0,0,0.60193894,3977.14758244,2226,456,38.8,16781027.3412953,17901.9117963443
